Species,Weight,Length1,Length2,Length3,Height,Width,AvgLength,PctHeightToWeight
Bream,242.0,23.2,25.4,30.0,11.52,4.02,26.2,4.760330578512397
Bream,290.0,24.0,26.3,31.2,12.48,4.3056,27.166666666666668,4.30344827586207
Bream,340.0,23.9,26.5,31.1,12.3778,4.6961,27.166666666666668,3.6405294117647062
Bream,363.0,26.3,29.0,33.5,12.73,4.4555,29.599999999999998,3.506887052341598
Bream,430.0,26.5,29.0,34.0,12.444,5.134,29.833333333333332,2.893953488372093
Bream,450.0,26.8,29.7,34.7,13.6024,4.9274,30.400000000000002,3.0227555555555554
Bream,500.0,26.8,29.7,34.5,14.1795,5.2785,30.333333333333332,2.8359
Bream,390.0,27.6,30.0,35.0,12.67,4.69,30.866666666666664,3.2487179487179487
Bream,450.0,27.6,30.0,35.1,14.0049,4.8438,30.900000000000002,3.1121999999999996
Bream,500.0,28.5,30.7,36.2,14.2266,4.9594,31.8,2.8453199999999996
Bream,475.0,28.4,31.0,36.2,14.2628,5.1042,31.866666666666664,3.002694736842105
Bream,500.0,28.7,31.0,36.2,14.3714,4.8146,31.96666666666667,2.8742799999999997
Bream,500.0,29.1,31.5,36.4,13.7592,4.368,32.333333333333336,2.7518399999999996
Bream,340.0,29.5,32.0,37.3,13.9129,5.0728,32.93333333333333,4.092029411764706
Bream,600.0,29.4,32.0,37.2,14.9544,5.1708,32.86666666666667,2.4924
Bream,600.0,29.4,32.0,37.2,15.438,5.58,32.86666666666667,2.573
Bream,700.0,30.4,33.0,38.3,14.8604,5.2854,33.9,2.1229142857142858
Bream,700.0,30.4,33.0,38.5,14.938,5.1975,33.96666666666667,2.1340000000000003
Bream,610.0,30.9,33.5,38.6,15.633,5.1338,34.333333333333336,2.5627868852459015
Bream,650.0,31.0,33.5,38.7,14.4738,5.7276,34.4,2.2267384615384618
Bream,575.0,31.3,34.0,39.5,15.1285,5.5695,34.93333333333333,2.6310434782608696
Bream,685.0,31.4,34.0,39.2,15.9936,5.3704,34.86666666666667,2.3348321167883213
Bream,620.0,31.5,34.5,39.7,15.5227,5.2801,35.233333333333334,2.503661290322581
Bream,680.0,31.8,35.0,40.6,15.4686,6.1306,35.800000000000004,2.2747941176470587
Bream,700.0,31.9,35.0,40.5,16.2405,5.589,35.800000000000004,2.3200714285714286
Bream,725.0,31.8,35.0,40.9,16.36,6.0532,35.9,2.256551724137931
Bream,720.0,32.0,35.0,40.6,16.3618,6.09,35.86666666666667,2.272472222222222
Bream,714.0,32.7,36.0,41.5,16.517,5.8515,36.733333333333334,2.3133053221288518
